Hora;Media_Solar;Maximo_Solar;Mediana_Solar;Media_Eolica;Maximo_Eolica;Mediana_Eolica
1;0,0001;0,00169;0;2,837955161;7,39318;2,74
2;0,0001;0,00169;0;2,546297419;6,65586;2,48056
3;0,0001;0,00167;0;2,290101935;6,0888;1,92993
4;0,0001;0,00166;0;2,201739032;5,39129;1,7729
5;0,0001;0,00166;0;1,852295484;5,20196;1,05265
6;0,0773;0,39671;0,0196;1,736282903;4,88393;1,30946
7;23,7596;38,2732;24,90873;1,913956129;5,59461;1,42189
8;99,7912;131,6578;103,33861;2,163346129;5,9241;1,77399
9;152,6927;179,44745;160,86074;2,949897742;8,02527;2,13955
10;184,799;211,8955;188,11016;3,898737097;9,22296;4,42
11;199,0377;225,15742;200,99502;4,631233871;9,94797;4,45416
12;204,7791;237,75732;209,43803;4,989945484;9,96202;4,94328
13;199,4799;232,10489;201,01183;5,634482903;9,55723;5,72842
14;192,0239;230,67558;190,91146;6,159497419;9,5855;6,45582
15;178,2548;214,4001;180,99029;6,367598065;10,40342;6,70782
16;147,3684;187,01669;151,27204;6,395825484;10,15057;6,408
17;79,2099;109,09653;79,08121;5,99571;9,61825;6,21213
18;7,4681;13,55916;7,22136;5,378800968;8,82488;5,64718
19;0;0,00072;0;4,60420129;8,61149;4,23265
20;0;0;0;4,020167097;8,80895;3,70073
21;0;0;0;3,854636129;9,68332;4,3148
22;0;0;0;3,682320968;9,31534;3,45183
23;0;0;0;3,130321935;7,87177;2,72484
24;0;0,00107;0;3,006304839;8,96987;3,29872
